date,Rok 2020,Rok 2021,Rok 2022,Rok 2023,Rok 2024,Rok 2025
2024-01-15,-0.71758324,-1.6842499,2.3386667,4.717834,-0.11758324,0.5553333
2024-01-16,0.055333287,-3.5009165,-1.0488331,3.2824163,0.10116667,0.6095001
2024-01-17,-1.3821667,-4.6988335,3.517834,3.5824172,-0.49466658,0.54283327
2024-01-18,-1.1530002,-4.321749,0.58658344,3.4803336,2.797,-1.03425
2024-01-19,1.6261667,1.4678334,-1.5321666,1.4240834,-0.7863334,-2.1905
2024-01-20,1.8532501,2.8511665,1.8553334,0.013666697,-1.9071666,-2.1905
2024-01-21,-1.3675834,4.3511662,-0.7363333,0.35741675,-2.1529996,-1.7634168
2024-01-22,0.36783335,8.3845,-0.5446667,1.2011666,-1.2592502,-0.96758324
2024-01-23,0.78658336,5.905333,-0.5925833,3.4449177,0.52825004,0.7949167
2024-01-24,-1.8071669,2.6282501,-1.8196667,2.2928333,4.597,0.9782501
2024-01-25,-0.91550016,1.5011668,0.50741667,1.5844998,7.3699155,3.6678333
2024-01-26,-0.8946667,-0.009250015,1.8844999,1.1199167,4.8345,6.3553333
2024-01-27,-0.32591668,-0.034250002,2.5490835,0.55741674,4.455333,7.305334
2024-01-28,0.33241662,-0.0071666334,3.9386666,0.08450001,2.0532503,7.899084
2024-01-29,1.3011667,2.2928336,2.4886668,-1.8655,-0.04883331,6.272
2024-01-30,3.0011663,4.1178336,5.759501,0.15116654,0.50325,5.0386662
2024-01-31,7.35325,-0.678,2.499083,3.7136662,0.019916655,2.9220002
2024-02-01,9.086583,-1.8425832,1.7095,4.79075,2.7303333,2.3615835
2024-02-02,10.476167,0.005333349,4.3282504,3.8094997,3.8782501,1.9490834
2024-02-03,9.00325,2.3553336,3.2053337,3.0365832,7.997,0.72825
2024-02-04,5.7886662,7.303251,2.7907505,1.5428334,9.688666,-0.93841666
2024-02-05,2.4740832,4.8907504,3.6595,-2.1071665,10.934501,0.2553334
2024-02-06,1.7803332,4.5865836,3.1574166,-3.8759165,8.782416,2.6907504
2024-02-07,4.301166,2.497,4.1365833,-3.53425,9.87825,2.1907501
2024-02-08,0.3761667,0.44075015,4.7699165,-1.9634166,8.928249,1.7178332
2024-02-09,0.75949997,-0.30508327,7.082416,-2.9967499,9.276167,2.6449168
2024-02-10,6.4761677,-0.90508324,4.4240837,-2.3155,12.167834,2.547
2024-02-11,5.3449173,-5.852999,5.807417,2.2324169,9.017834,0.3699167
2024-02-12,4.330333,-6.6259155,2.0240836,4.4365835,7.363667,0.38866672
2024-02-13,4.763666,-4.8821664,0.7074168,3.1386664,6.0199165,0.50741667
2024-02-14,6.292834,-3.8363333,2.8136666,3.3532503,4.2720003,0.6345
2024-02-15,5.3386655,-3.4634163,4.105334,0.65116674,5.3574166,-1.6946664
2024-02-16,6.2761664,-1.8196667,6.951166,0.8345001,6.6095004,-1.6217502
2024-02-17,6.4532495,2.0490835,9.126167,5.26575,5.0678334,-2.1717498
2024-02-18,7.2595005,4.6178336,8.7178335,12.297,6.0345,-1.5925833
2024-02-19,4.9428325,3.2136667,7.8324165,8.62825,5.4969997,-3.2300832
2024-02-20,4.5032496,2.5240834,6.032417,7.392833,6.830333,-2.6529999
2024-02-21,4.24075,3.1720002,5.1657495,10.4845,6.5949173,-1.0884165
2024-02-22,3.9240835,4.886584,5.0386667,8.399085,7.4094996,0.48241687
2024-02-23,10.361584,5.1115837,6.261584,7.4740834,8.676167,1.0178335
2024-02-24,7.759499,7.694917,4.294917,8.030334,7.34075,4.4803333
2024-02-25,9.336583,7.7303333,3.9511669,5.622,6.913667,2.4803333
2024-02-26,6.0365844,8.4470005,3.0220003,1.6928334,8.963666,5.01575
2024-02-27,4.2220006,5.7886662,3.522,0.85324997,9.9053335,4.551166
2024-02-28,3.8386662,4.376167,1.20325,1.2657503,9.844916,4.3970003
2024-02-29,4.5761676,4.992833,1.2720002,3.5303328,9.9990835,3.4595
2024-03-01,5.6949162,4.1178336,1.5907501,4.0136676,9.459499,3.0011666
2024-03-02,9.338667,4.6761665,1.5574168,3.8219995,8.4470005,2.8844998
2024-03-03,8.088666,6.3615823,1.447,3.1595001,10.044915,4.217833
2024-03-04,5.201167,3.5199165,1.9678335,3.0449169,9.422,5.2949166
2024-03-05,4.738667,0.6782501,1.5386666,2.1970003,8.088667,7.399084
2024-03-06,5.3553333,0.7240834,0.12199988,3.3365839,7.1345,9.138667
2024-03-07,5.765749,0.74908334,1.797,6.647,5.7845,9.838668
2024-03-08,5.0907497,0.52616674,3.8157492,9.55325,5.4199166,10.576166
2024-03-09,4.1803336,1.7511665,2.3678339,9.872,6.9219995,11.909499
2024-03-10,7.99075,1.9532503,-1.1363332,4.459501,10.34075,9.538667
2024-03-11,11.176167,6.386583,-0.57175,3.2636669,10.469916,10.817833
2024-03-12,13.584499,7.636584,1.8678333,8.488666,9.244916,9.717833
2024-03-13,8.834498,6.5845,4.736583,10.336583,9.711583,5.9449162
2024-03-14,5.546999,4.424083,6.4595,5.11575,8.880333,4.647
2024-03-15,2.4657502,4.2761674,6.386583,3.369917,8.474082,5.1303334
2024-03-16,4.707416,3.27825,6.099083,4.3907495,10.286584,1.9407501
2024-03-17,7.4845004,2.3449168,5.0344996,6.6490836,7.4199166,0.5720001
2024-03-18,11.163666,0.77825004,5.0011663,7.697,4.3511667,1.62825
2024-03-19,10.582416,-0.48424998,2.9970005,10.528249,3.3595,3.6178331
2024-03-20,11.138667,-0.35299996,4.1032495,10.949082,5.1345,5.942833
2024-03-21,6.4782505,2.6886663,5.8032494,12.047,9.0303335,7.8386655
2024-03-22,1.4990835,4.30325,9.132417,11.901166,11.197,10.719917
2024-03-23,1.0011667,5.2261667,9.561583,13.094914,10.349083,9.188666
2024-03-24,2.372,6.776167,10.380333,12.017835,6.1303334,10.932416
2024-03-25,1.0074168,7.497001,11.755333,10.511582,5.9886665,10.903249
2024-03-26,6.644916,9.2074175,10.611583,6.0594997,8.455333,9.861585
2024-03-27,9.4365835,7.722,10.1449175,3.0386667,11.826167,11.011584
2024-03-28,10.465752,9.711583,14.024083,3.44075,11.67825,10.4678335
2024-03-29,8.855334,13.701165,12.421998,8.311583,11.5615835,10.744916
2024-03-30,2.257417,14.424083,9.336584,12.217832,15.407417,8.21575
2024-03-31,1.613667,15.036584,4.597,11.369916,16.140749,9.2595
2024-04-01,2.3865836,11.365748,2.4095001,8.307418,17.240751,10.053249
2024-04-02,3.2699163,6.6011662,1.8782501,3.9636667,11.336583,12.19075
2024-04-03,5.938667,4.9011674,3.3636672,2.0720003,12.436582,11.882416
2024-04-04,8.315749,8.0303335,7.236583,2.3428333,13.642834,9.536583
2024-04-05,9.422,2.5782502,12.269916,3.9178336,14.069917,1.8490834
2024-04-06,11.024082,2.2949164,13.157417,4.2365837,17.111582,3.5053332
2024-04-07,10.542834,3.5678332,12.309501,3.6678336,16.949083,6.4761662
2024-04-08,11.451165,6.0595,8.236583,5.611583,17.446999,7.3782496
2024-04-09,12.842834,10.028251,5.8199162,9.297,17.992832,8.3345
2024-04-10,13.513665,11.472001,5.9886665,8.144916,11.886584,10.661583
2024-04-11,12.397002,10.219916,7.8032494,8.769917,14.288669,11.276166
2024-04-12,14.117833,3.2240832,10.232416,8.424083,15.107418,13.286583
2024-04-13,14.211582,4.1678333,12.621999,8.476167,16.865751,14.447
2024-04-14,6.5449157,3.8532498,12.447,6.8115826,18.919916,14.080333
2024-04-15,7.8782496,5.130333,7.969917,9.599082,16.561583,17.405333
2024-04-16,12.399083,6.467833,7.37825,12.499082,8.3949175,18.267832
2024-04-17,15.592834,8.411584,7.7303333,12.267833,7.6907496,13.953248
2024-04-18,16.101168,8.9782505,6.486583,10.242833,7.038667,12.0345
2024-04-19,12.430333,10.219915,7.4094987,11.538666,6.9220004,13.969916
2024-04-20,10.463668,11.032417,9.397,13.078251,7.0074153,15.455333
2024-04-21,11.10325,10.036584,9.526167,13.0824175,5.4345,16.461584
2024-04-22,11.29075,7.5657506,11.590749,15.038667,6.076166,16.374084
2024-04-23,12.5095,8.649083,13.36575,13.476166,8.3845,15.528251
2024-04-24,14.971999,9.069917,11.465752,10.642834,5.9199166,13.432419
2024-04-25,13.830333,6.9511666,11.557415,8.16575,6.7657495,13.06575
2024-04-26,11.551166,8.4990835,9.85325,8.257417,8.449082,11.282417
2024-04-27,12.846999,11.386584,13.094918,10.238667,12.25325,12.834499
2024-04-28,15.836583,14.586583,13.084498,12.028251,15.813666,14.247001
2024-04-29,14.972,14.326167,13.74075,12.636582,17.026167,16.576166
2024-04-30,16.369919,15.763667,14.7845,13.657417,17.52408,17.199083
2024-05-01,14.088668,12.817836,15.549084,14.709498,16.842833,17.032415
2024-05-02,14.028251,9.805334,15.799083,12.769916,16.257418,18.55533
2024-05-03,11.4574175,12.788669,15.674083,14.090752,14.857417,15.642834
2024-05-04,13.0199175,11.782417,16.269915,15.699082,17.367834,10.297
2024-05-05,12.117832,9.932417,16.424084,15.088666,17.665752,9.92825
2024-05-06,10.213666,10.555333,16.846998,13.324082,17.326168,10.899085
2024-05-07,13.228249,9.709499,16.647001,11.957417,15.3845,10.380334
2024-05-08,14.236585,14.319917,17.263666,12.07825,14.649081,9.513667
2024-05-09,17.594917,18.646997,17.921999,14.074084,15.451168,11.278249
2024-05-10,18.940748,21.082417,19.394917,15.447,15.9261675,12.101167
2024-05-11,17.478249,16.719915,21.276165,11.578248,16.549084,10.980332
2024-05-12,8.34075,12.849084,19.784498,11.909499,16.755335,11.830335
2024-05-13,9.836583,11.572001,17.771997,12.080333,15.451167,14.080334
2024-05-14,12.274082,13.215749,18.697,13.888667,16.16992,11.361583
2024-05-15,9.555333,14.169915,19.72825,13.440749,17.155333,9.763668
2024-05-16,12.207417,12.226167,17.990751,10.874084,16.813667,11.432416
2024-05-17,14.355331,13.4365835,16.055334,11.663669,13.592834,11.097001
2024-05-18,16.953249,12.586583,16.35325,13.963666,15.797001,12.357414
2024-05-19,19.144915,12.9595,20.180334,17.713663,17.753248,14.5345
2024-05-20,17.369915,13.894916,20.67825,19.438667,17.982416,15.432418
2024-05-21,14.719916,12.203251,17.271997,19.151167,18.649084,15.263667
2024-05-22,15.078251,10.8740835,17.057417,18.661581,17.603249,11.451167
2024-05-23,13.8595,11.861584,18.082415,16.149082,18.259499,12.1095
2024-05-24,14.263667,12.178249,16.644915,16.369915,17.301167,14.184501
2024-05-25,12.72825,12.719916,17.880333,17.786581,17.738665,16.332415
2024-05-26,13.3740835,13.653253,19.269917,17.07825,19.053251,16.686583
2024-05-27,14.851166,13.836583,15.1865835,17.338667,20.451166,16.663668
2024-05-28,14.94075,13.297001,13.632419,18.613665,18.872,15.509499
2024-05-29,14.030332,12.744916,14.824082,18.769917,18.257418,14.9365835
2024-05-30,13.5345,14.1449175,16.980333,19.611582,19.96575,19.744917
2024-05-31,12.205335,14.817833,19.619915,19.742834,17.657415,21.255333
2024-06-01,16.794916,15.853251,19.386583,19.767834,16.321999,21.063667
2024-06-02,16.019915,17.9345,21.732416,17.124083,17.486584,18.774084
2024-06-03,17.357418,19.411581,22.226166,14.930331,17.767834,21.226168
2024-06-04,18.242836,20.772,22.39283,17.02825,16.351168,22.069918
2024-06-05,15.630333,20.442833,19.913668,17.77825,18.165749,21.83658
2024-06-06,18.772001,21.347,20.99075,17.93033,21.138666,21.274084
2024-06-07,20.85325,22.436584,19.592833,18.44075,20.692835,16.399082
2024-06-08,15.901166,22.817833,18.47825,17.882416,21.613668,15.399083
2024-06-09,18.090748,21.901169,19.6845,19.624084,21.526163,17.619919
2024-06-10,16.322,20.738668,20.580336,19.417833,18.7095,17.786585
2024-06-11,18.182415,22.144915,21.536583,17.471998,17.855331,17.217833
2024-06-12,20.75533,16.882416,19.513662,16.472002,14.936584,18.421999
2024-06-13,23.242834,17.003252,17.380335,16.549086,14.688667,18.994919
2024-06-14,21.336584,20.255335,18.597,17.961582,16.209497,21.505333
2024-06-15,20.388666,23.257416,20.657415,19.35325,18.984499,19.332418
2024-06-16,18.9345,23.955332,19.849081,18.890749,19.361582,19.005333
2024-06-17,20.122,25.326166,21.147001,20.192831,20.80533,21.086582
2024-06-18,18.303247,26.140749,22.90325,22.792831,23.278252,22.4345
2024-06-19,17.2845,26.457415,23.982416,23.911583,24.994913,18.807417
2024-06-20,16.0845,27.494917,19.301168,25.351168,22.567833,18.847
2024-06-21,16.753252,25.669914,21.015749,26.05533,25.474083,21.130331
2024-06-22,19.757418,25.859497,23.211584,24.601168,22.224083,23.511581
2024-06-23,19.136583,25.430336,23.792831,20.315752,21.507418,22.524084
2024-06-24,17.249083,22.711584,20.95533,22.124086,21.144915,24.932417
2024-06-25,19.169918,21.830336,23.657412,23.140753,21.828253,26.584497
2024-06-26,20.678251,23.172003,26.338667,20.382416,22.488665,23.71575
2024-06-27,23.015749,24.776169,26.390749,18.699083,22.388666,22.1345
2024-06-28,24.271997,27.222,27.75325,20.878252,23.499084,25.053251
2024-06-29,19.542833,22.19075,28.319918,22.636583,25.974083,24.449081
2024-06-30,20.544916,19.844917,27.084496,21.782417,27.367834,23.313665
2024-07-01,23.819916,18.919912,20.74075,22.234499,22.328249,24.644915
2024-07-02,23.986582,20.030334,23.705336,21.921999,19.567833,27.105331
2024-07-03,20.17825,21.376165,26.742834,23.303251,18.313665,23.140747
2024-07-04,21.032417,21.811584,20.922003,23.482414,19.455332,22.467833
2024-07-05,23.051165,24.786583,20.844915,21.794916,22.1595,25.255331
2024-07-06,23.203245,25.772001,19.576166,22.984499,25.394915,19.438665
2024-07-07,17.253252,28.436586,19.326168,23.463669,24.169912,16.544916
2024-07-08,19.124084,24.107416,19.584501,25.5595,23.319916,16.361582
2024-07-09,21.699081,22.046999,17.232416,27.396997,26.261581,17.990747
2024-07-10,25.64283,21.444918,17.722,25.761581,28.417831,18.736584
2024-07-11,18.742834,22.017832,19.513666,25.882418,26.978249,18.749083
2024-07-12,17.001167,26.128252,23.524084,23.52408,27.580336,22.859503
2024-07-13,18.292833,24.18867,27.532417,23.444914,24.14283,24.690748
2024-07-14,18.667833,21.501165,21.524084,25.834497,24.857414,25.119917
2024-07-15,20.144917,23.990747,21.113668,28.099085,27.140749,21.226166
2024-07-16,18.924084,24.51783,20.336584,26.338667,27.196997,18.161581
2024-07-17,18.0595,23.780334,21.947,25.226168,25.703245,18.374083
2024-07-18,17.074083,23.572,25.4345,25.830336,25.724085,21.461584
2024-07-19,19.088667,19.880333,27.438662,23.494917,26.307417,24.859499
2024-07-20,22.224083,20.06367,28.953247,20.149084,23.009499,24.81367
2024-07-21,22.584501,21.411583,28.661581,21.265749,25.211584,22.149084
2024-07-22,22.434502,21.688665,28.676168,23.476166,25.794914,22.851166
2024-07-23,21.936583,23.109499,26.259499,25.788668,25.444916,23.255333
2024-07-24,21.597,22.730333,26.122002,20.494917,23.303247,22.711584
2024-07-25,20.91992,23.963663,21.946999,17.197,21.703253,21.151167
2024-07-26,21.83658,24.663664,21.3095,18.740751,22.680334,19.482416
2024-07-27,23.27825,25.363668,22.471998,22.207415,26.078247,20.055334
2024-07-28,26.192833,23.29075,23.513664,23.282417,24.805334,19.451166
2024-07-29,23.609503,25.109497,20.276167,21.928247,21.832418,19.426165
2024-07-30,24.847,23.997,19.553253,21.288668,21.71158,19.488668
